,Round,Seed,Opp_1,Opp_2,Opp_3,Opp_4,Opp_5,Opp_6,Final Rd,Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Non-Conf SOS,Year
564,2,8,Tennessee,Duke,,,,,No Upset,Michigan,B10,21.0,112.8,95.1,61.5,-0.014,110.7,98.7,-1.19,2011
565,1,4,Ohio,,,,,,Upset,Michigan,B10,24.0,114.3,96.8,60.1,0.058,109.0,98.3,-0.11,2012
566,6,4,South Dakota State,VCU,Kansas,Florida,Syracuse,Louisville,No Upset,Michigan,B10,31.0,121.9,94.0,64.0,-0.007,108.2,97.0,-3.09,2013
567,4,2,Wofford,Texas,Tennessee,Kentucky,,,Upset,Michigan,B10,28.0,123.9,100.5,61.0,0.047,110.3,98.6,0.62,2014
568,1,11,Notre Dame,,,,,,No Upset,Michigan,B10,23.0,114.6,100.5,65.8,0.013,110.1,101.1,-2.15,2016
569,3,7,Oklahoma State,Louisville,Oregon,,,,No Upset,Michigan,B10,26.0,122.3,99.2,63.1,-0.025,110.3,99.5,-0.53,2017
570,6,3,Montana,Houston,Texas A&M,Florida State,Loyola (IL),Villanova,No Upset,Michigan,B10,33.0,114.7,90.5,64.9,0.052,111.4,101.1,-4.83,2018
571,3,2,Montana,Florida,Texas Tech,,,,Upset,Michigan,B10,30.0,114.5,86.2,64.8,-0.001,109.2,98.0,-5.42,2019
572,4,1,Texas Southern,LSU,Florida State,UCLA,,,Upset,Michigan,B10,23.0,117.6,87.9,66.6,0.007,111.7,95.3,2.51,2021
573,3,11,Colorado State,Tennessee,Villanova,,,,No Upset,Michigan,B10,19.0,113.9,97.2,66.7,-0.019,109.8,97.7,6.27,2022
574,1,10,NC State,,,,,,No Upset,Michigan St.,B10,19.0,113.0,96.2,63.3,-0.026,108.5,98.7,1.51,2002
575,4,7,Colorado,Florida,Maryland,Texas,,,No Upset,Michigan St.,B10,22.0,110.1,89.9,63.6,-0.05,107.3,97.2,3.2,2003
576,1,7,Nevada,,,,,,Upset,Michigan St.,B10,18.0,117.2,101.5,64.0,-0.014,107.1,98.2,7.6,2004
577,5,5,Old Dominion,Vermont,Duke,Kentucky,North Carolina,,No Upset,Michigan St.,B10,26.0,119.7,94.0,66.4,-0.013,107.0,99.1,-3.18,2005
578,1,6,George Mason,,,,,,Upset,Michigan St.,B10,22.0,116.3,100.3,64.2,0.004,106.4,97.5,-1.03,2006
579,2,9,Marquette,North Carolina,,,,,No Upset,Michigan St.,B10,23.0,112.8,91.8,60.3,-0.036,109.2,100.2,-1.63,2007
580,3,5,Temple,Pittsburgh,Memphis,,,,No Upset,Michigan St.,B10,27.0,115.8,94.7,63.3,0.032,108.2,99.5,0.59,2008
581,6,2,Robert Morris,USC,Kansas,Louisville,Connecticut,North Carolina,No Upset,Michigan St.,B10,31.0,114.3,89.9,66.5,0.091,109.4,97.1,5.81,2009
582,5,5,New Mexico State,Maryland,Northern Iowa,Tennessee,Butler,,No Upset,Michigan St.,B10,28.0,112.8,92.7,65.3,0.027,107.5,98.5,-0.94,2010
583,1,10,UCLA,,,,,,No Upset,Michigan St.,B10,19.0,109.5,94.4,65.0,0.01,111.0,97.3,6.7,2011
584,3,1,LIU Brooklyn,Saint Louis,Louisville,,,,Upset,Michigan St.,B10,29.0,114.7,86.9,64.3,-0.027,108.6,98.4,-1.07,2012
585,3,3,Valparaiso,Memphis,Duke,,,,No Upset,Michigan St.,B10,27.0,112.6,88.5,63.1,0.001,108.8,96.9,-0.75,2013
586,4,4,Delaware,Harvard,Virginia,Connecticut,,,Upset,Michigan St.,B10,29.0,118.6,94.7,64.4,-0.003,110.2,99.7,0.57,2014
587,5,7,Georgia,Virginia,Oklahoma,Louisville,Duke,,No Upset,Michigan St.,B10,27.0,116.6,94.9,63.1,-0.017,110.3,99.8,-0.88,2015
588,1,2,Middle Tennessee,,,,,,Upset,Michigan St.,B10,29.0,123.4,95.5,66.5,-0.012,107.5,100.3,0.4,2016
589,2,9,Miami (FL),Kansas,,,,,No Upset,Michigan St.,B10,20.0,111.4,95.9,66.9,-0.011,110.6,99.6,4.01,2017
590,2,3,Bucknell,Syracuse,,,,,Upset,Michigan St.,B10,30.0,119.2,93.8,67.0,0.038,108.6,101.9,-5.03,2018
